issue,date,r1,r2,r3,r4,r5,b1,b2,sales,pool
09118,2009-10-10,10,17,18,21,34,5,11,62050346,92730021
09119,2009-10-12,3,12,22,23,28,4,12,56316371,98097859
09120,2009-10-14,11,23,27,28,32,2,5,60056189,107904920
09121,2009-10-17,4,5,8,11,22,2,10,73567264,54673809
09122,2009-10-19,1,2,11,31,33,5,6,60514755,56878026
09123,2009-10-21,10,21,28,29,32,6,10,62130621,63953316
09124,2009-10-24,1,3,14,32,35,7,11,69674019,76489108
09125,2009-10-26,8,20,23,29,31,2,11,63479997,90678364
09126,2009-10-28,14,23,27,28,33,8,12,65283300,102312718
09127,2009-10-31,5,9,27,32,34,5,8,77984435,87126140
09128,2009-11-02,6,21,28,32,34,4,7,62083219,97634482
09129,2009-11-04,2,10,18,32,33,3,8,67149959,77054592
09130,2009-11-07,9,14,25,32,34,2,8,72087396,88919860
09131,2009-11-09,2,3,8,33,34,3,11,62393936,98050516
09132,2009-11-11,2,10,12,15,28,4,7,62748807,106963054
09133,2009-11-14,1,8,24,27,34,10,11,69788002,111334356
09134,2009-11-16,2,16,19,28,33,7,11,60197804,107370438
09135,2009-11-18,6,8,15,20,32,5,6,63316973,107893793
09136,2009-11-21,7,13,23,24,29,6,10,70354666,101611149
09137,2009-11-23,12,28,29,30,34,1,9,64726488,90767377
09138,2009-11-25,3,4,14,28,32,9,10,66057007,80927196
09139,2009-11-28,14,16,20,22,32,5,9,69724233,92503373
09140,2009-11-30,7,8,19,26,30,1,12,62128703,98666575
09141,2009-12-02,13,14,21,30,33,2,8,62765789,103935745
09142,2009-12-05,5,6,13,24,31,3,11,70853469,44007409
09143,2009-12-07,1,9,10,11,22,1,12,62884100,48445532
09144,2009-12-09,18,26,32,33,34,4,6,61978220,36571512
09145,2009-12-12,5,11,14,22,35,3,10,68557416,43098036
09146,2009-12-14,11,17,23,24,25,3,6,61477563,52710568
09147,2009-12-16,6,12,18,22,29,5,8,60438195,48191714
09148,2009-12-19,2,4,13,14,33,1,9,67488906,54696815
09149,2009-12-21,1,3,10,12,20,2,7,60846169,52825988
09150,2009-12-23,4,11,18,25,34,5,7,62649989,65000723
09151,2009-12-26,3,8,14,30,31,4,9,68568519,2716865
09152,2009-12-28,1,23,29,30,32,7,12,59093356,32697004
09153,2009-12-30,21,22,30,32,34,3,7,61921485,45689732
10001,2010-01-02,2,6,7,12,27,2,8,65988959,45504266
10002,2010-01-04,4,23,25,26,30,7,10,59063615,59188235
10003,2010-01-06,5,14,23,27,30,2,8,59587916,65611514
10004,2010-01-09,3,6,21,24,34,4,6,67089619,71469926
10005,2010-01-11,4,17,19,22,30,2,3,60174031,79667245
10006,2010-01-13,3,13,19,30,34,2,5,60820884,89093591
10007,2010-01-16,7,23,26,29,32,8,11,66968023,71607483
10008,2010-01-18,11,23,25,31,32,5,11,59727873,76422792
10009,2010-01-20,2,5,13,27,32,3,11,59047555,84598107
10010,2010-01-23,15,22,24,32,35,2,9,64021576,80080060
10011,2010-01-25,2,3,11,27,32,8,11,58954872,93686243
10012,2010-01-27,20,24,30,31,33,5,12,59423790,92737376
10013,2010-01-30,18,21,22,26,34,9,12,65363883,105115884
10014,2010-02-01,18,19,30,33,35,2,4,59887023,117407301
10015,2010-02-03,3,10,14,18,28,8,10,60286444,118407987
10016,2010-02-06,10,12,20,23,32,4,10,66467786,122313595
10017,2010-02-08,13,21,23,27,34,9,12,58963701,123885908
10018,2010-02-10,3,10,26,32,33,4,12,60178507,136398415
10019,2010-02-20,3,11,19,26,27,2,9,59288005,135673799
10020,2010-02-22,8,18,26,32,33,1,6,55310141,145273416
10021,2010-02-24,11,20,23,24,25,7,9,59435470,101613245
10022,2010-02-27,2,11,13,14,25,2,5,65023742,116363243
10023,2010-03-01,11,13,29,32,33,2,8,56897252,105649877
10024,2010-03-03,3,14,19,24,25,4,11,58426025,89654080
10025,2010-03-06,9,11,13,14,25,1,7,63920913,82829054
10026,2010-03-08,5,23,25,31,35,7,10,56646358,86090953
10027,2010-03-10,5,23,26,32,34,2,9,57838370,63069499
10028,2010-03-13,1,2,7,20,35,1,3,66147851,78158451
10029,2010-03-15,21,22,33,34,35,3,4,57269938,23158451
10030,2010-03-17,10,12,19,32,35,2,7,57295895,20000000
10031,2010-03-20,5,13,16,17,35,6,8,62185672,20000000
